0,0,0,2,0,,,0,0,0,1,3,6,3,6,10,4,9,16,5,12,21,,CASE 1,CASE 2,CASE 3,CASE 4,CASE 5,CASE 6,CASE 7,CASE 8,CASE 9,CASE 10,CASE 11,CASE 12,CASE 13,CASE 14,CASE 15
0,1,1,4,1,,,0,1,2,2,4,8,3,8,14,5,12,21,7,16,29,,0,0,0,1,3,6,3,6,10,4,9,16,5,12,21
0,2,2,7,2,,,0,1,2,2,4,8,3,8,14,5,12,21,7,16,29,,0,1,2,2,4,8,3,8,14,5,12,21,7,16,29
1,2,2,9,2,,,2,4,7,9,20,35,16,35,63,25,55,98,33,75,133,,0,1,2,2,4,8,3,8,14,5,12,21,7,16,29
3,4,4,20,5,,,0,1,2,2,5,8,4,8,14,6,13,22,8,17,30,,2,4,7,9,20,35,16,35,63,25,55,98,33,75,133
6,8,8,35,8,,,,,,,,,,,,,,,,,,,0,1,2,2,5,8,4,8,14,6,13,22,8,17,30
3,3,3,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,8,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14,14,63,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12,12,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21,21,98,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,7,33,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16,16,75,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,29,133,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
