ITEM,ID,EDP,Component,Group,Quantity,Damage States,"DS1, Median Demand","DS2, Median Demand","DS3, Median Demand","DS4, Median Demand","DS5, Median Demand","DS1, Total Dispersion (Beta)","DS2, Total Dispersion (Beta)","DS3, Total Dispersion (Beta)","DS4, Total Dispersion (Beta)","DS5, Total Dispersion (Beta)","DS1, Repair COST","DS2, Repair COST","DS3, Repair COST","DS4, Repair COST","DS5, Repair COST","DS1, COST Dispersion (Beta)","DS2, COST Dispersion (Beta)","DS3, COST Dispersion (Beta)","DS4, COST Dispersion (Beta)","DS5, COST Dispersion (Beta)","DS1, best fit","DS2, best fit","DS3, best fit","DS4, best fit","DS5, best fit"
1,C1,PFA,NS,3,27,2,1.1,1.4,,,,0.4,0.4,,,,798,2096,,,,0.5762,0.3074,,,,,,,,
2,C2,PFA,NS,3,75,1,0.5,,,,,0.5,,,,,92,,,,,1.2841,,,,,,,,,
3,C3,PFA,NS,3,40,3,1.17,1.58,1.82,,,0.25,0.25,0.25,,,290,2270,4670,,,0.5508,0.5183,0.2026,,,,,,,
4,C4,PFA,NS,3,0,2,1.5,2.6,,,,0.4,0.4,,,,319,2915,,,,0.7637,0.4054,,,,,,,,
5,C5,PFA,NS,3,0,2,1.5,2.25,,,,0.4,0.4,,,,1045,8745,,,,0.256,0.0806,,,,,,,,
6,C6,PFA,NS,3,1,2,1.5,2.25,,,,0.4,0.4,,,,715,6985,,,,0.3674,0.1002,,,,,,,,
7,C7,PFA,NS,3,9,1,1.3,,,,,0.4,,,,,2700,,,,,0.2066,,,,,,,,,
8,C8,PFA,NS,3,7,1,1.9,,,,,0.4,,,,,13500,,,,,0.2942,,,,,,,,,
9,C9,PFA,NS,3,300,1,0.6,,,,,0.4,,,,,1,,,,,0.6369,,,,,,,,,
10,C10,PFA,NS,3,2,2,1.1,2.4,,,,0.4,0.5,,,,385,2915,,,,0.6488,0.4054,,,,,,,,
11,C11,PFA,NS,3,1,2,0.75,0.95,,,,0.4,0.4,,,,550,550,,,,0.3665,0.3665,,,,,,,,
12,C12,PFA,NS,3,0,1,1.28,,,,,0.4,,,,,10203,,,,,0.1572,,,,,,,,,
